orgope,mpio_inegi,estado
Comisión Estatal de Aguas de Querétaro (CEA),Querétaro,Querétaro
Junta de Agua Potable y Alcantarillado Municipal de San Juan del Río (JAPAM),San Juan del Río,Querétaro
Comisión de Agua Potable y Alcantarillado de Tulum  (CAPA),Tulum,Quintana roo
DHC-AGUAKAN S. A. DE C.V.,Benito Juárez,Quintana Roo
Comisión de Agua Potable y Alcantarillado de Cozumel (CAPA),Cozumel,Quintana Roo
Comisión de Agua Potable y Alcantarillado de Felipe Carrillo Puerto (CAPA),Felipe Carrillo Puerto,Quintana Roo
Comisión de Agua Potable y Alcantarillado de José María Morelos (CAPA),José María Morelos,Quintana Roo
Comisión de Agua Potable y Alcantarillado de Lázaro Cárdenas (CAPA),Lázaro Cárdenas,Quintana Roo
Comisión de Agua Potable y Alcantarillado de Bacalar (CAPA),Othón P. Blanco,Quintana Roo
Comisión de Agua Potable y Alcantarillado de Othón P. Blanco (CAPA),Othón P. Blanco,Quintana Roo
Comisión de Agua Potable y Alcantarillado de Playa del Carmen (CAPA),Playa del Carmen,Quintana Roo
Sistema de Agua Potable del Municipio De Saín Alto (SIAPASA),Playa del Carmen,Quintana Roo
Sistema de Agua Potable y Alcantarillado de Calera (SAPAC),Playa del Carmen,Quintana Roo
Sistema Municipal de Agua Potable y Alcantarillado de Jerez (SIMAPAJ),Playa del Carmen,Quintana Roo
Sistema Municipal de Agua Potable Alcantarillado y Saneamiento de Tlaltenango (SMAPAT),Playa del Carmen,Quintana Roo
Sistema de Agua y Drenaje Axtla de Terrazas (SADA),Axtla de Terrazas,San Luis Potosí
Agua Potable Alcantarillado y Saneamiento de Cárndenas (APASCAR),Cárdenas,San Luis Potosí
Organismo Paramunicipal de Agua y Drenaje de Cedral (OPAD),Cedral,San Luis Potosí
Organismo Operador de Agua Potable de Cerritos (OPAPCE),Cerritos,San Luis Potosí
Servicios de Agua Potable Alcantarilladoy Saneamiento de Charcas (SAPASCH),Charcas,San Luis Potosí
Organismo Operador del Sistema de Aguapotable y Alcantarillado de Ciudad Fernández (OOSAPA),Ciudad Fernández,San Luis Potosí
Dirección de Agua Potable Alcantarillado y Saneamiento de Ciudad Valles (DAPA),Ciudad Valles,San Luis Potosí
Direccion de Agua Potable Alcantarilladoy Saneamiento de Ebano (DAPAS),Ebano,San Luis Potosí
Servicios de Agua Potable Alcantarillado y Saneamiento de Matehuala S.L.P. (SAPSAM),Matehuala,San Luis Potosí
Organismo Operador Paramunicipal Deagua Potable Alcantarillado Ysaneamiento de Río Verde (SASAR),Rioverde,San Luis Potosí
Direccion de Agua Potable Alcantarilladoy Saneamiento de San Ciro de Acosta (DAPAS),San Ciro de Acosta,San Luis Potosí
Organismo Intermunicipal de Agua Potable Alcantarillado y Saneamiento de San Luis Potosí (INTERAPAS),San Luis Potosí,San Luis Potosí
Agua Potable Alcantarillado y Saneamiento de Tamazunchale (APAST),Tamazunchale,San Luis Potosí
Direccion de Agua Potable Alcantarilladoy Saneamiento de Tamíun (DAPAT),Tamuín,San Luis Potosí
Direccion de Agua Potable Alcantarillado y Saneamiento de Tanquian de Escobedo (DAPASTE),Tanquián de Escobedo,San Luis Potosí
